"","snpid","geneid"
"snp_1009","snp_1009","AT3G44400"
"snp_1047","snp_1047","AT3G46940"
"snp_109","snp_109","AT1G18890"
"snp_1346","snp_1346","AT4G19960"
"snp_1584","snp_1584","AT5G13280"
"snp_446","snp_446","AT1G69840"
"snp_716","snp_716","AT2G31810"
"snp_1213","snp_1213","AT4G01500"
"snp_1297","snp_1297","AT4G13430"
"snp_137","snp_137","AT1G22040"
"snp_1642","snp_1642","AT5G21105"
"snp_174","snp_174","AT1G29340"
"snp_1780","snp_1780","AT5G39760"
"snp_211","snp_211","AT1G30810"
"snp_257","snp_257","AT1G35515"
"snp_50","snp_50","AT1G09290"
"snp_675","snp_675","AT2G23290"
"snp_829","snp_829","AT3G08720"
"snp_1109","snp_1109","AT3G54010"
"snp_1626","snp_1626","AT5G19250"
"snp_249","snp_249","AT1G34210"
"snp_807","snp_807","AT3G04630"
"snp_163","snp_163","AT1G28090"
"snp_83","snp_83","AT1G13880"
"snp_428","snp_428","AT1G68400"
"snp_1898","snp_1898","AT5G54585"
